age,ex
<1,89.95803974533831
1-4,89.07215800320945
5-9,85.10239189838987
10-14,80.11618339987467
15-19,75.13400690667046
20-24,70.17358767956976
25-29,65.21738879119876
30-34,60.26269024655169
35-39,55.31916854910968
40-44,50.380332319154036
45-49,45.47773654442523
50-54,40.67081541422387
55-59,35.930571863689416
60-64,31.257671396093468
65-69,26.64838015957887
70-74,22.160212679066483
75-79,17.95217465938373
80-84,14.122818143823618
85-89,10.999142354981545
90-94,8.973511784517271
95+,8.494693425849968
