country,gbd_exposure_source_country,calorie_source_country
AFG,AFG,IRN
AGO,AGO,AGO
ALB,ALB,ALB
ARE,ARE,ARE
ARG,ARG,ARG
ARM,ARM,ARM
ASM,ASM,WSM
ATG,ATG,ATG
AUS,AUS,AUS
AUT,AUT,AUT
AZE,AZE,AZE
BDI,BDI,BDI
BEL,BEL,BEL
BEN,BEN,BEN
BFA,BFA,BFA
BGD,BGD,BGD
BGR,BGR,BGR
BHS,BHS,BHS
BIH,BIH,BIH
BLR,BLR,BLR
BLZ,BLZ,BLZ
BOL,BOL,BOL
BRA,BRA,BRA
BRB,BRB,BRB
BRN,BRN,MYS
BTN,BTN,NPL
BWA,BWA,BWA
CAF,CAF,CAF
CAN,CAN,CAN
CHE,CHE,CHE
CHL,CHL,CHL
CHN,CHN,CHN
CIV,CIV,CIV
CMR,CMR,CMR
COD,COD,COD
COG,COG,COG
COL,COL,COL
COM,COM,COM
CPV,CPV,CPV
CRI,CRI,CRI
CUB,CUB,CUB
CYP,CYP,CYP
CZE,CZE,CZE
DEU,DEU,DEU
DJI,DJI,DJI
DNK,DNK,DNK
DOM,DOM,DOM
DZA,DZA,DZA
ECU,ECU,ECU
EGY,EGY,EGY
ERI,ERI,ETH
ESP,ESP,ESP
EST,EST,EST
ETH,ETH,ETH
FIN,FIN,FIN
FJI,FJI,FJI
FRA,FRA,FRA
GAB,GAB,GAB
GBR,GBR,GBR
GEO,GEO,GEO
GHA,GHA,GHA
GIN,GIN,GIN
GMB,GMB,GMB
GNB,GNB,GNB
GNQ,GNQ,CMR
GRC,GRC,GRC
GRD,GRD,GRD
GTM,GTM,GTM
GUF,FRA,FRA
GUY,GUY,GUY
HND,HND,HND
HRV,HRV,HRV
HTI,HTI,HTI
HUN,HUN,HUN
IDN,IDN,IDN
IND,IND,IND
IRL,IRL,IRL
IRN,IRN,IRN
IRQ,IRQ,IRQ
ISL,ISL,ISL
ISR,ISR,ISR
ITA,ITA,ITA
JAM,JAM,JAM
JOR,JOR,JOR
JPN,JPN,JPN
KAZ,KAZ,KAZ
KEN,KEN,KEN
KGZ,KGZ,KGZ
KHM,KHM,KHM
KOR,KOR,KOR
LAO,LAO,LAO
LBN,LBN,LBN
LBR,LBR,LBR
LBY,LBY,LBY
LKA,LKA,LKA
LSO,LSO,LSO
LTU,LTU,LTU
LUX,LUX,LUX
LVA,LVA,LVA
MAR,MAR,MAR
MDA,MDA,MDA
MDG,MDG,MDG
MEX,MEX,MEX
MKD,MKD,MKD
MLI,MLI,MLI
MLT,MLT,MLT
MMR,MMR,MMR
MNE,MNE,MNE
MNG,MNG,MNG
MOZ,MOZ,MOZ
MRT,MRT,MRT
MUS,MUS,MUS
MWI,MWI,MWI
MYS,MYS,MYS
NAM,NAM,NAM
NER,NER,NER
NGA,NGA,NGA
NIC,NIC,NIC
NLD,NLD,NLD
NOR,NOR,NOR
NPL,NPL,NPL
NZL,NZL,NZL
OMN,OMN,OMN
PAK,PAK,PAK
PAN,PAN,PAN
PER,PER,PER
PHL,PHL,PHL
PNG,PNG,PNG
POL,POL,POL
PRI,PRI,USA
PRT,PRT,PRT
PRY,PRY,PRY
PSE,PSE,JOR
ROU,ROU,ROU
RUS,RUS,RUS
RWA,RWA,RWA
SAU,SAU,SAU
SDN,SDN,SDN
SEN,SEN,SEN
SLB,SLB,SLB
SLE,SLE,SLE
SLV,SLV,SLV
SOM,SOM,ETH
SRB,SRB,SRB
SSD,SSD,SDN
STP,STP,STP
SUR,SUR,SUR
SVK,SVK,SVK
SVN,SVN,SVN
SWE,SWE,SWE
SWZ,SWZ,SWZ
SYR,SYR,SYR
TCD,TCD,TCD
TGO,TGO,TGO
THA,THA,THA
TJK,TJK,TJK
TKM,TKM,TKM
TLS,TLS,TLS
TTO,TTO,TTO
TUN,TUN,TUN
TUR,TUR,TUR
TWN,TWN,CHN
TZA,TZA,TZA
UGA,UGA,UGA
UKR,UKR,UKR
URY,URY,URY
USA,USA,USA
UZB,UZB,UZB
VEN,VEN,VEN
VNM,VNM,VNM
VUT,VUT,VUT
YEM,YEM,YEM
ZAF,ZAF,ZAF
ZMB,ZMB,ZMB
ZWE,ZWE,ZWE
